data,ameaca,lesao,estupro,feminicidio,feminicidio_tentado
2012-01-01,4271,2655,154,12,0
2012-02-01,4040,2571,108,14,0
2012-03-01,3912,2305,126,8,0
2012-04-01,3527,2055,85,5,0
2012-05-01,3617,2012,106,8,0
2012-06-01,3183,1725,103,2,0
2012-07-01,3188,1714,125,12,0
2012-08-01,3630,2148,130,13,0
2012-09-01,3395,2079,107,9,0
2012-10-01,3944,2457,132,9,0
2012-11-01,4020,2427,140,3,0
2012-12-01,4242,2975,138,6,0
2013-01-01,4537,2674,153,7,26
2013-02-01,3853,2425,129,12,21
2013-03-01,3845,2298,104,8,19
2013-04-01,3683,2071,105,9,19
2013-05-01,3237,1970,116,10,13
2013-06-01,3266,1793,124,9,18
2013-07-01,3315,1724,112,5,13
2013-08-01,3300,1766,109,6,19
2013-09-01,3251,1932,98,8,22
2013-10-01,3584,2184,145,7,19
2013-11-01,3857,2456,122,2,21
2013-12-01,4151,2844,131,9,19
2014-01-01,4455,2571,152,5,38
2014-02-01,3937,2304,102,9,24
2014-03-01,3994,2324,135,11,29
2014-04-01,3617,2013,105,8,15
2014-05-01,3452,1745,109,4,17
2014-06-01,3193,1804,94,3,17
2014-07-01,3489,1711,107,4,24
2014-08-01,3542,1987,83,3,23
2014-09-01,3540,1871,109,6,26
2014-10-01,3856,2265,117,5,24
2014-11-01,3853,2354,143,9,29
2014-12-01,3843,2593,151,8,20
2015-01-01,4434,2639,142,5,25
2015-02-01,3902,2310,120,13,30
2015-03-01,4370,2371,126,5,32
2015-04-01,3893,2099,129,9,33
2015-05-01,3593,1928,111,8,33
2015-06-01,3152,1647,125,5,14
2015-07-01,2968,1647,95,7,18
2015-08-01,2983,1853,129,12,29
2015-09-01,2744,1590,123,9,14
2015-10-01,3382,1968,134,11,27
2015-11-01,3648,2104,92,7,25
2015-12-01,3772,2377,146,8,31
2016-01-01,4169,2504,206,10,16
2016-02-01,3923,2265,119,13,18
2016-03-01,3705,1976,147,8,20
2016-04-01,3359,1914,99,11,28
2016-05-01,2984,1514,99,3,15
2016-06-01,2846,1441,126,4,14
2016-07-01,3059,1633,129,6,20
2016-08-01,3080,1588,137,10,28
2016-09-01,2843,1602,103,10,19
2016-10-01,3131,1958,123,5,24
2016-11-01,3317,1966,145,7,26
2016-12-01,3190,2306,141,9,35
2017-01-01,3576,2197,167,9,23
2017-02-01,3356,2096,124,8,30
2017-03-01,3454,2026,127,6,32
2017-04-01,2905,1806,120,6,28
2017-05-01,2961,1550,124,3,17
2017-06-01,2770,1514,112,9,22
2017-07-01,3222,1797,132,4,27
2017-08-01,3184,1754,151,8,33
2017-09-01,3112,1896,175,14,34
2017-10-01,3104,1938,149,3,27
2017-11-01,3069,1973,137,7,21
2017-12-01,3233,2413,143,6,28
2018-01-01,3625,2176,194,7,35
2018-02-01,3268,1989,173,3,34
2018-03-01,3459,2073,175,8,30
2018-04-01,3314,1837,167,11,44
2018-05-01,2875,1628,158,10,34
2018-06-01,2640,1441,110,16,17
2018-07-01,2868,1432,121,8,33
2018-08-01,3047,1450,151,10,22
2018-09-01,2944,1749,135,12,26
2018-10-01,3285,1882,112,7,26
2018-11-01,3188,1936,99,8,32
2018-12-01,3110,2222,117,16,22
2019-01-01,3765,2116,184,3,44
2019-02-01,3214,1820,132,1,23
2019-03-01,3457,1949,126,11,25
2019-04-01,3085,1719,107,6,37
2019-05-01,2893,1499,104,11,31
2019-06-01,2799,1589,133,9,23
2019-07-01,2739,1364,143,14,22
2019-08-01,3004,1460,156,8,27
2019-09-01,3031,1663,174,7,14
2019-10-01,3085,1723,166,9,41
2019-11-01,3075,1885,156,11,39
2019-12-01,3234,2202,133,7,33
2020-01-01,3805,2213,244,10,22
2020-02-01,3481,2001,192,4,23
2020-03-01,2904,1814,181,13,19
2020-04-01,2263,1309,115,9,24
2020-05-01,2425,1222,163,7,32
2020-08-01,2714,1364,174,4,27
2020-09-01,2460,1401,192,5,27
2020-10-01,2881,1634,240,6,40
2020-11-01,2966,1673,219,6,31
2020-12-01,3000,1853,202,6,24
2021-01-01,3416,1942,282,11,31
2021-02-01,2735,1590,230,6,22
2021-03-01,2714,1474,192,3,29
2021-04-01,2616,1388,173,14,15
2021-05-01,2423,1112,162,7,9
2021-08-01,2696,1429,224,14,22
2021-09-01,2522,1418,189,7,21
2021-10-01,2849,1642,221,3,24
2021-11-01,2844,1673,224,8,24
2021-12-01,3022,1953,230,6,23
2022-01-01,3078,240,240,11,22
2022-02-01,2798,175,175,9,22
2022-03-01,2894,221,221,8,15
2022-04-01,2459,210,210,10,18
2022-05-01,2307,216,216,10,22
2022-08-01,2513,216,216,8,25
2022-09-01,2331,238,238,6,19
2022-10-01,2649,254,254,9,24
2022-11-01,2625,236,236,10,35
2022-12-01,2988,250,250,8,22
2023-01-01,3359,2077,277,110,21
2023-02-01,2961,1691,209,6,22
2023-03-01,3194,1865,212,10,22
2023-04-01,2620,1521,193,6,15
2023-05-01,2583,1411,231,5,35
2023-06-01,2431,1254,165,8,28
2023-06-01,2266,1047,156,8,17
2023-06-01,2449,1362,181,9,12
2023-06-01,2190,189,189,11,17
2023-07-01,2426,1163,159,2,21
2023-07-01,2654,1344,164,9,18
2023-07-01,2544,1460,178,9,18
2023-07-01,2506,229,229,10,21
2023-08-01,2680,1468,218,5,19
2023-09-01,2400,1573,167,4,15
2023-10-01,2515,1564,177,10,23
